Date,target,Close,MAdivergence_25,MAdivergence_60,MAdivergence_75,RSI_25,RSI_60,RSI_75,Volatility_25,Volatility_60,Volatility_75,Momentum_25,Momentum_60,Momentum_75,code,ROE,SelfCapitalRatio,OpProfitMargin,EPS,BPS,PER,PBR
2023-08-10,0,561.3,,,,,,,,,,,,,4755,-0.11941117160029822,0.05415247387717576,-0.12858449835526317,-65.46189225623014,548.2057614789089,-8.574454245883487,1.0238856273340988
2023-08-14,0,581.2,,,,,,,,,,,,,4755,-0.11941117160029822,0.05415247387717576,-0.12858449835526317,-65.46189225623014,548.2057614789089,-8.87844790256099,1.060185866037018
2023-08-15,0,574.0,,,,,,,,,,,,,4755,-0.11941117160029822,0.05415247387717576,-0.12858449835526317,-65.46189225623014,548.2057614789089,-8.768460247883702,1.0470521113304343
2023-08-16,0,560.3,,,,,,,,,,,,,4755,-0.11941117160029822,0.05415247387717576,-0.12858449835526317,-65.46189225623014,548.2057614789089,-8.559178182733865,1.022061494735962
2023-08-17,1,535.5,,,,,,,,,,,,,4755,-0.11941117160029822,0.05415247387717576,-0.12858449835526317,-65.46189225623014,548.2057614789089,-8.18033181662321,0.9768230063021733
2023-08-18,1,535.0,,,,,,,,,,,,,4755,-0.11941117160029822,0.05415247387717576,-0.12858449835526317,-65.46189225623014,548.2057614789089,-8.172693785048398,0.9759109400031051
2023-08-21,1,539.0,,,,,,,,,,,,,4755,-0.11941117160029822,0.05415247387717576,-0.12858449835526317,-65.46189225623014,548.2057614789089,-8.233798037646892,0.9832074703956516
2023-08-22,0,553.6,,,,,,,,,,,,,4755,-0.11941117160029822,0.05415247387717576,-0.12858449835526317,-65.46189225623014,548.2057614789089,-8.45682855963139,1.0098398063284466
2023-08-23,1,550.5,,,,,,,,,,,,,4755,-0.11941117160029822,0.05415247387717576,-0.12858449835526317,-65.46189225623014,548.2057614789089,-8.409472763867559,1.004184995274223
2023-08-24,1,548.3,,,,,,,,,,,,,4755,-0.11941117160029822,0.05415247387717576,-0.12858449835526317,-65.46189225623014,548.2057614789089,-8.375865424938386,1.0001719035583223
2023-08-25,1,543.6,,,,,,,,,,,,,4755,-0.11941117160029822,0.05415247387717576,-0.12858449835526317,-65.46189225623014,548.2057614789089,-8.304067928135158,0.9915984803470802
2023-08-28,1,551.2,,,,,,,,,,,,,4755,-0.11941117160029822,0.05415247387717576,-0.12858449835526317,-65.46189225623014,548.2057614789089,-8.420166008072295,1.0054618880929187
2023-08-29,1,567.0,,,,,,,,,,,,,4755,-0.11941117160029822,0.05415247387717576,-0.12858449835526317,-65.46189225623014,548.2057614789089,-8.661527805836341,1.0342831831434778
